company_id,type,rule_id,text,confidence_pct
TCS,Pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
HDFCBANK,Pro,PRO_4,Revenue growing above 15% CAGR reflects strong business momentum.,90
HDFCBANK,Pro,PRO_6,Net profit compounding above 20% over the selected period creates significant shareholder value.,92
HDFCBANK,Pro,PRO_9,Stock price has delivered strong CAGR over the selected investment period.,88
TCS,Pro,PRO_9,Stock price has delivered strong CAGR over the selected investment period.,88
WIPRO,Pro,PRO_9,Stock price has delivered strong CAGR over the selected investment period.,88
INFY,Pro,PRO_9,Stock price has delivered strong CAGR over the selected investment period.,88
SBILIFE,Pro,PRO_4,Revenue growing above 15% CAGR reflects strong business momentum.,90
INFY,Pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ADANIENSOL,Con,CON_1,Debt-to-equity ratio is high and warrants monitoring.,92
ADANIENSOL,Con,CON_6,Interest coverage below 1.5 indicates financial stress.,95
ABB,Pro,PRO_7,Very high interest coverage reflects negligible financial stress.,90
ABB,Pro,PRO_3,Debt-free balance sheet provides financial flexibility.,93
ABB,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
ABB,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
ADANIENSOL,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
ADANIGREEN,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
ADANIPORTS,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
ADANIPOWER,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
AMBUJACEM,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
AXISBANK,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
BAJAJFINSV,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
BAJAJHLDNG,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
BAJFINANCE,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
BANKBARODA,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
BHARTIARTL,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
BEL,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
CANBK,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
CHOLAFIN,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
CIPLA,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
COALINDIA,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
DIVISLAB,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
DLF,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
DRREDDY,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
EICHERMOT,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
HAL,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
HCLTECH,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
HDFCBANK,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
HDFCLIFE,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
HEROMOTOCO,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
HINDALCO,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
HINDUNILVR,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
ICICIGI,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
ICICIPRULI,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
INDUSINDBK,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
INFY,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
IRCTC,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
IRFC,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
ITC,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
JINDALSTEL,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
JIOFIN,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
JSWENERGY,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
JSWSTEEL,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
LODHA,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
NAUKRI,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
NHPC,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
NTPC,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
ONGC,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
PFC,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
POWERGRID,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
RECLTD,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
SHREECEM,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
SHRIRAMFIN,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
SUNPHARMA,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
TATASTEEL,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
TCS,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
TORNTPHARM,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
